"employee_id","absence_date","absence_type","absence_hours","paid_unpaid","department","manager"
"BLD-100008","2024-07-24","Sick","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2024-02-03","Late","3","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2023-11-28","Sick","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2024-08-30","Unplanned","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2023-09-25","Unplanned","8","Unpaid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2024-12-23","Sick","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100008","2024-11-04","Sick","8","Paid","Engineering & Maintenance","Ahmed Ibrahim"
"BLD-100009","2025-09-30","Unplanned","8","Paid","IT & Digital","Deepak Gurung"
"BLD-100009","2025-12-22","Sick","8","Paid","IT & Digital","Deepak Gurung"
"BLD-100009","2025-10-22","Sick","8","Paid","IT & Digital","Deepak Gurung"
"BLD-100009","2023-11-24","Other","8","Unpaid","IT & Digital","Deepak Gurung"
"BLD-100009","2024-04-21","Unplanned","8","Unpaid","IT & Digital","Deepak Gurung"
"BLD-100009","2023-09-02","Unplanned","8","Paid","IT & Digital","Deepak Gurung"
"BLD-100009","2025-09-06","Late","2","Paid","IT & Digital","Deepak Gurung"
"BLD-100010","2024-07-21","Late","3","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2023-05-12","Unplanned","8","Unpaid","Marketing","Shobha Mahmoud"
"BLD-100010","2023-02-08","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2023-06-18","Late","1","Unpaid","Marketing","Shobha Mahmoud"
"BLD-100010","2025-04-13","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2025-03-12","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2023-01-12","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2023-01-16","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100010","2024-08-04","Unplanned","8","Unpaid","Marketing","Shobha Mahmoud"
"BLD-100010","2024-10-19","Sick","8","Paid","Marketing","Shobha Mahmoud"
"BLD-100011","2023-05-22","Late","1","Paid","Finance","Rajesh Malik"
"BLD-100011","2023-04-08","Unplanned","8","Unpaid","Finance","Rajesh Malik"
"BLD-100011","2023-03-18","Sick","8","Paid","Finance","Rajesh Malik"
"BLD-100011","2023-08-22","Late","2","Unpaid","Finance","Rajesh Malik"
"BLD-100012","2023-01-28","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2025-03-31","Other","8","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2024-04-04","Late","3","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2025-05-31","Late","3","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-01-20","Late","1","Paid","People & Culture","Mariam Baig"
"BLD-100012","2025-05-23","Unplanned","8","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2025-10-19","Unplanned","8","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2025-08-09","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2025-10-12","Unplanned","8","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2024-04-11","Unplanned","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-10-22","Unplanned","8","Unpaid","People & Culture","Mariam Baig"
"BLD-100012","2023-09-17","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2025-08-24","Unplanned","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-03-14","Late","1","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-12-07","Late","2","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-07-01","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2024-05-14","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100012","2023-05-07","Sick","8","Paid","People & Culture","Mariam Baig"
"BLD-100013","2025-09-11","Late","2","Unpaid","Marketing","Anil Kapoor"
"BLD-100013","2024-06-20","Sick","8","Paid","Marketing","Anil Kapoor"
"BLD-100013","2023-02-13","Sick","8","Paid","Marketing","Anil Kapoor"
"BLD-100013","2023-08-17","Unplanned","8","Unpaid","Marketing","Anil Kapoor"
"BLD-100013","2023-09-07","Sick","8","Paid","Marketing","Anil Kapoor"
"BLD-100014","2023-02-14","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100014","2024-02-04","Late","3","Unpaid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2023-04-19","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-04-20","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-06-07","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-01-06","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-02-07","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-04-20","Unplanned","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-02-20","Late","3","Unpaid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2025-10-01","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2024-05-19","Late","2","Unpaid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2023-08-10","Unplanned","8","Unpaid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2025-05-31","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2023-07-13","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100015","2025-03-16","Unplanned","8","Unpaid","Engineering & Maintenance","Ravi Youssef"
"BLD-100016","2024-07-27","Sick","8","Paid","Corporate & Executive Office","Rania Islam"
"BLD-100016","2025-10-22","Other","8","Unpaid","Corporate & Executive Office","Rania Islam"
"BLD-100016","2024-03-21","Late","2","Unpaid","Corporate & Executive Office","Rania Islam"
"BLD-100016","2025-10-17","Sick","8","Paid","Corporate & Executive Office","Rania Islam"
"BLD-100017","2025-11-02","Late","3","Unpaid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2025-05-25","Unplanned","8","Unpaid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2025-07-15","Sick","8","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2023-05-12","Sick","8","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2024-06-19","Sick","8","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2024-12-22","Late","1","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100017","2025-01-05","Late","3","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100018","2024-10-06","Late","2","Paid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100018","2024-01-06","Unplanned","8","Unpaid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100018","2025-03-12","Late","3","Unpaid","Engineering & Maintenance","Ramesh Kapoor"
"BLD-100019","2025-08-20","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2024-11-29","Unplanned","8","Unpaid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2024-08-19","Unplanned","8","Unpaid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2023-01-14","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2025-11-27","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2024-05-17","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2024-07-19","Late","3","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2024-03-04","Late","3","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2025-05-02","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2025-07-06","Other","8","Unpaid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100019","2023-05-30","Sick","8","Paid","Sales & Distribution","Ramesh El-Sayed"
"BLD-100020","2024-12-13","Late","1","Paid","Supply Chain & Logistics","Suresh Reyes"
"BLD-100020","2024-12-20","Sick","8","Paid","Supply Chain & Logistics","Suresh Reyes"
"BLD-100020","2023-06-21","Unplanned","8","Unpaid","Supply Chain & Logistics","Suresh Reyes"
"BLD-100020","2023-02-26","Sick","8","Paid","Supply Chain & Logistics","Suresh Reyes"
"BLD-100020","2023-11-12","Sick","8","Paid","Supply Chain & Logistics","Suresh Reyes"
"BLD-100021","2025-07-19","Late","2","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-02-14","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2025-02-03","Unplanned","8","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2024-07-06","Late","2","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-06-20","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-01-18","Unplanned","8","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-10-24","Unplanned","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-03-18","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2024-11-06","Late","2","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2025-02-16","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2025-04-24","Other","8","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-07-21","Late","1","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2024-11-28","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-09-30","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2025-11-02","Unplanned","8","Unpaid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-10-10","Late","2","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2024-05-20","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2024-07-11","Unplanned","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2025-12-02","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100021","2023-05-27","Sick","8","Paid","Corporate & Executive Office","Rajesh Ahmed"
"BLD-100022","2023-07-17","Unplanned","8","Paid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2023-10-04","Unplanned","8","Unpaid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2024-01-25","Unplanned","8","Unpaid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2024-04-08","Sick","8","Paid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2023-06-12","Unplanned","8","Unpaid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2024-06-03","Unplanned","8","Paid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2024-09-26","Unplanned","8","Unpaid","Sales & Distribution","Krishna Thapa"
"BLD-100022","2023-12-05","Late","3","Unpaid","Sales & Distribution","Krishna Thapa"
"BLD-100023","2024-07-05","Late","2","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-06-25","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-08-09","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-07-11","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-09-11","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-01-02","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2023-03-14","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-03-24","Late","3","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-07-27","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2023-09-20","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-10-20","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-07-03","Other","8","Unpaid","People & Culture","Rina Abdullah"
"BLD-100023","2025-11-16","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-04-24","Unplanned","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-01-23","Unplanned","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-01-09","Unplanned","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2023-08-18","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2024-04-02","Other","8","Unpaid","People & Culture","Rina Abdullah"
"BLD-100023","2025-07-05","Late","3","Paid","People & Culture","Rina Abdullah"
"BLD-100023","2025-12-21","Sick","8","Paid","People & Culture","Rina Abdullah"
"BLD-100024","2023-05-31","Sick","8","Paid","People & Culture","Hind Youssef"
"BLD-100025","2025-04-07","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2023-09-25","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2025-09-21","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2023-07-31","Unplanned","8","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2023-11-17","Unplanned","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2023-10-22","Late","1","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-09-01","Unplanned","8","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-12-12","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2025-03-05","Unplanned","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-02-06","Late","1","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-06-12","Late","2","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-07-07","Unplanned","8","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-02-26","Unplanned","8","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-01-09","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2023-01-25","Late","2","Unpaid","Sales & Distribution","Kavita Gurung"
"BLD-100025","2024-03-05","Sick","8","Paid","Sales & Distribution","Kavita Gurung"
"BLD-100026","2023-05-01","Late","3","Paid","Quality Assurance & Food Safety","Sameer Al-Sayed"
"BLD-100027","2024-05-06","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-07-06","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-02-09","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-12-15","Late","3","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-11-09","Late","3","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-03-23","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-05-06","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2024-04-01","Other","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-11-28","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2024-11-29","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2024-01-15","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2024-07-10","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-05-01","Unplanned","8","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-09-23","Late","2","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2023-09-01","Late","2","Unpaid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2024-05-02","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-06-20","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100027","2025-11-10","Sick","8","Paid","Supply Chain & Logistics","Rina Hassan"
"BLD-100028","2023-02-23","Late","1","Unpaid","R&D","Rina Baig"
"BLD-100028","2025-08-06","Late","2","Paid","R&D","Rina Baig"
"BLD-100028","2023-02-23","Unplanned","8","Unpaid","R&D","Rina Baig"
"BLD-100028","2024-05-01","Unplanned","8","Unpaid","R&D","Rina Baig"
"BLD-100028","2023-01-05","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2025-04-12","Late","2","Unpaid","R&D","Rina Baig"
"BLD-100028","2023-10-07","Late","1","Paid","R&D","Rina Baig"
"BLD-100028","2025-05-04","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2025-07-24","Unplanned","8","Paid","R&D","Rina Baig"
"BLD-100028","2023-05-06","Late","1","Paid","R&D","Rina Baig"
"BLD-100028","2025-01-14","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2023-04-03","Unplanned","8","Unpaid","R&D","Rina Baig"
"BLD-100028","2024-08-07","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2025-12-30","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2024-08-08","Unplanned","8","Unpaid","R&D","Rina Baig"
"BLD-100028","2023-05-30","Unplanned","8","Unpaid","R&D","Rina Baig"
"BLD-100028","2023-03-08","Late","2","Unpaid","R&D","Rina Baig"
"BLD-100028","2024-01-13","Sick","8","Paid","R&D","Rina Baig"
"BLD-100028","2023-05-28","Sick","8","Paid","R&D","Rina Baig"
"BLD-100029","2023-08-18","Sick","8","Paid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2024-08-17","Sick","8","Paid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2024-08-13","Unplanned","8","Unpaid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2024-08-25","Unplanned","8","Unpaid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2023-01-17","Sick","8","Paid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2023-07-18","Sick","8","Paid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2023-04-28","Late","1","Paid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2023-02-10","Late","2","Unpaid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100029","2024-02-25","Unplanned","8","Unpaid","Quality Assurance & Food Safety","Nadia Santos"
"BLD-100030","2024-04-25","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2024-04-13","Other","8","Unpaid","People & Culture","Layla Reyes"
"BLD-100030","2024-12-16","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2023-06-03","Other","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2023-02-09","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2023-02-26","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2023-09-27","Unplanned","8","Unpaid","People & Culture","Layla Reyes"
"BLD-100030","2025-05-16","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2023-12-09","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2024-11-27","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2024-02-26","Unplanned","8","Paid","People & Culture","Layla Reyes"
"BLD-100030","2025-12-06","Sick","8","Paid","People & Culture","Layla Reyes"
"BLD-100031","2023-04-18","Sick","8","Paid","Engineering & Maintenance","Ravi Youssef"
"BLD-100032","2023-05-02","Unplanned","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-07-10","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-08-27","Late","3","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-09-09","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-12-20","Unplanned","8","Unpaid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-01-01","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-09-08","Late","2","Unpaid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-02-23","Unplanned","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-10-23","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-02-21","Late","1","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-01-11","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-06-18","Unplanned","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2023-05-02","Unplanned","8","Unpaid","Sales & Distribution","Manoj Baig"
"BLD-100032","2025-01-23","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2025-07-19","Late","2","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-11-09","Late","3","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2025-07-26","Late","2","Unpaid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-05-13","Other","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2025-03-15","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2025-06-10","Late","1","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-10-20","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100032","2024-11-27","Sick","8","Paid","Sales & Distribution","Manoj Baig"
"BLD-100033","2023-12-15","Sick","8","Paid","People & Culture","Waleed Rai"
"BLD-100033","2024-12-23","Unplanned","8","Unpaid","People & Culture","Waleed Rai"
"BLD-100034","2025-03-05","Unplanned","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2025-04-30","Unplanned","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2023-06-07","Unplanned","8","Unpaid","Procurement","Santosh Baig"
"BLD-100034","2023-10-18","Sick","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2023-01-05","Other","8","Unpaid","Procurement","Santosh Baig"
"BLD-100034","2024-03-01","Late","1","Unpaid","Procurement","Santosh Baig"
"BLD-100034","2024-03-30","Unplanned","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2024-08-10","Sick","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2024-05-05","Sick","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2024-10-13","Unplanned","8","Unpaid","Procurement","Santosh Baig"
"BLD-100034","2023-07-27","Unplanned","8","Paid","Procurement","Santosh Baig"
"BLD-100034","2023-01-20","Late","3","Unpaid","Procurement","Santosh Baig"
"BLD-100034","2023-10-06","Unplanned","8","Paid","Procurement","Santosh Baig"
