"employee_id","employee_number","employee_name","preferred_name","gender","nationality","date_of_birth","age","marital_status","employment_status","employee_type","full_time_part_time","hire_date","confirmation_date","termination_date","termination_reason","length_of_service","legal_entity","business_unit","department","division","section","cost_center","position_id","position_title","job_family","job_grade","job_level","line_manager_id","line_manager_name","location","country","city","employment_category"
"BLD-100012","EMP000011","Bikram Ahmed","Bikram","Male","Egyptian","1974-05-09","51","Married","Active","Permanent","Full Time","2013-06-13","2013-09-11",,,"12.6","Baladna Egypt","Corporate","People & Culture","Corporate","People & Culture - Section 3","CC-310","POS-00011","Coordinator - People & Culture","People & Culture","G1","Staff","BLD-100275","Mariam Baig","Cairo Site","Egypt","Cairo","Local"
"BLD-100013","EMP000012","Aisha Iqbal","Aisha","Female","Sudanese","1959-03-25","66","Married","Terminated","Permanent","Full Time","2010-10-29","2011-01-27","2025-09-26","Resignation - Relocation","14.9","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 3","CC-916","POS-00012","Senior Officer - Marketing","Marketing","G8","Supervisory","BLD-101126","Anil Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100014","EMP000013","Sanjay Baig","Sanjay","Male","Indian","1989-03-08","35","Married","Terminated","Temporary","Full Time","2010-09-05","2010-12-04","2024-04-23","Resignation - Personal Reasons","13.6","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00013","Senior Officer - Engineering & Maintenance","Engineering & Maintenance","G6","Supervisory","BLD-100494","Ravi Youssef","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100015","EMP000014","Omar Al-Sayed","Omar","Male","Egyptian","1969-02-20","56","Single","Active","Permanent","Full Time","2014-02-13","2014-05-14",,,"11.9","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 2","CC-178","POS-00014","Team Lead - Engineering & Maintenance","Engineering & Maintenance","G9","Supervisory","BLD-100494","Ravi Youssef","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100016","EMP000015","Rajesh Sharma","Rajesh","Male","Qatari","1973-02-21","52","Other","Active","Permanent","Full Time","2018-10-04","2019-01-02",,,"7.2","Baladna Q.P.S.C. (Qatar)","Corporate","Corporate & Executive Office","Corporate","Corporate & Executive Office - Section 3","CC-577","POS-00015","Team Lead - Corporate & Executive Office","Corporate & Executive Office","G6","Supervisory","BLD-100398","Rania Islam","Al Rayyan Site","Qatar","Al Rayyan","Local"
"BLD-100017","EMP000016","Manoj Kapoor","Manoj","Male","Indian","1972-10-17","53","Married","Active","Permanent","Full Time","2022-07-12","2022-10-10",,,"3.5","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00016","Team Lead - Engineering & Maintenance","Engineering & Maintenance","G6","Supervisory","BLD-100008","Ramesh Kapoor","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100018","EMP000017","Ramesh Gurung","Ramesh","Male","Indian","1993-10-09","31","Single","Terminated","Contract","Full Time","2019-05-02","2019-07-31","2025-04-24","Resignation - Relocation","6","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00017","Senior Officer - Engineering & Maintenance","Engineering & Maintenance","G6","Supervisory","BLD-100008","Ramesh Kapoor","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100019","EMP000018","Sameer El-Sayed","Sameer","Male","Nepali","1970-10-23","55","Single","Active","Permanent","Full Time","2020-07-13","2020-10-11",,,"5.5","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 1","CC-310","POS-00018","Officer - Sales & Distribution","Sales & Distribution","G5","Staff","BLD-100356","Ramesh El-Sayed","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100020","EMP000019","Ravi Khan","Ravi","Male","Bangladeshi","1973-11-22","52","Other","Active","Permanent","Full Time","2022-09-01","2022-11-30",,,"3.3","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 3","CC-370","POS-00019","Senior Manager - Supply Chain & Logistics","Supply Chain & Logistics","G11","Managerial","BLD-101509","Suresh Reyes","Doha Site","Qatar","Doha","Expatriate"
"BLD-100021","EMP000020","Rajesh Hassan","Rajesh","Male","Nepali","1991-06-13","34","Married","Active","Permanent","Full Time","2015-12-04","2016-03-03",,,"10.1","Baladna Q.P.S.C. (Qatar)","Corporate","Corporate & Executive Office","Corporate","Corporate & Executive Office - Section 3","CC-577","POS-00020","Officer - Corporate & Executive Office","Corporate & Executive Office","G2","Staff","BLD-101192","Rajesh Ahmed","Doha Site","Qatar","Doha","Expatriate"
"BLD-100022","EMP000021","Hari Iqbal","Hari","Male","Egyptian","1982-08-06","42","Married","Terminated","Permanent","Full Time","2019-10-03","2020-01-01","2024-10-21","Resignation - Relocation","5.1","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 3","CC-310","POS-00021","Associate - Sales & Distribution","Sales & Distribution","G5","Staff","BLD-100781","Krishna Thapa","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100023","EMP000022","Mariam Chowdhury","Mariam","Female","Indian","1968-03-22","57","Married","Active","Permanent","Full Time","2021-01-27","2021-04-27",,,"4.9","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00022","Operator - People & Culture","People & Culture","G1","Staff","BLD-100594","Rina Abdullah","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100024","EMP000023","Sanjay El-Sayed","Sanjay","Male","Egyptian","1964-10-14","58","Married","Terminated","Contract","Full Time","2016-02-14","2016-05-14","2023-06-29","Resignation - Personal Reasons","7.4","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 3","CC-310","POS-00023","Assistant - People & Culture","People & Culture","G5","Staff","BLD-100896","Hind Youssef","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100025","EMP000024","Ravi Mansour","Ravi","Male","Egyptian","1985-07-09","40","Single","Active","Permanent","Full Time","2017-06-03","2017-09-01",,,"8.6","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 2","CC-310","POS-00024","Officer - Sales & Distribution","Sales & Distribution","G2","Staff","BLD-101388","Kavita Gurung","Cairo Site","Egypt","Cairo","Local"
"BLD-100026","EMP000025","Yasmin Chowdhury","Yasmin","Female","Egyptian","1976-02-08","48","Married","Terminated","Permanent","Full Time","2010-08-30","2010-11-28","2024-11-07","Resignation - Relocation","14.2","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 2","CC-564","POS-00025","Specialist - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G7","Supervisory","BLD-100714","Sameer Al-Sayed","Cairo Site","Egypt","Cairo","Local"
"BLD-100027","EMP000026","Deepak Al-Marri","Deepak","Male","Jordanian","1964-01-24","61","Single","Active","Contract","Full Time","2018-12-29","2019-03-29",,,"7","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 1","CC-370","POS-00026","Assistant - Supply Chain & Logistics","Supply Chain & Logistics","G1","Staff","BLD-100509","Rina Hassan","Doha Site","Qatar","Doha","Expatriate"
"BLD-100028","EMP000027","Fatima Kapoor","Fatima","Female","Indian","1984-08-25","41","Single","Active","Permanent","Full Time","2014-01-30","2014-04-30",,,"11.9","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 1","CC-118","POS-00027","Operator - R&D","R&D","G2","Staff","BLD-100235","Rina Baig","Doha Site","Qatar","Doha","Expatriate"
"BLD-100029","EMP000028","Lubna Youssef","Lubna","Female","Egyptian","1995-02-04","29","Married","Terminated","Permanent","Full Time","2022-01-10","2022-04-10","2024-10-24","Resignation - Relocation","2.8","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00028","Operator - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G1","Staff","BLD-101262","Nadia Santos","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100030","EMP000029","Anita Baig","Anita","Female","Egyptian","1985-09-12","40","Single","Active","Permanent","Part Time","2021-06-25","2021-09-23",,,"4.5","Baladna Egypt","Corporate","People & Culture","Corporate","People & Culture - Section 3","CC-310","POS-00029","Officer - People & Culture","People & Culture","G1","Staff","BLD-101041","Layla Reyes","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100031","EMP000030","Hari Youssef","Hari","Male","Egyptian","1963-02-05","60","Married","Terminated","Permanent","Full Time","2015-06-18","2015-09-16","2023-12-22","Resignation - Better Opportunity","8.5","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00030","Senior Officer - Engineering & Maintenance","Engineering & Maintenance","G7","Supervisory","BLD-100494","Ravi Youssef","Doha Site","Qatar","Doha","Expatriate"
"BLD-100032","EMP000031","Hari Devi","Hari","Male","Nepali","1973-04-25","52","Married","Active","Permanent","Full Time","2014-12-03","2015-03-03",,,"11.1","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 2","CC-310","POS-00031","Operator - Sales & Distribution","Sales & Distribution","G2","Staff","BLD-101034","Manoj Baig","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100033","EMP000032","Ali Malik","Ali","Male","Egyptian","1982-12-14","43","Married","Active","Contract","Full Time","2014-07-01","2014-09-29",,,"11.5","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00032","Supervisor - People & Culture","People & Culture","G6","Supervisory","BLD-100388","Waleed Rai","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100034","EMP000033","Mariam Reyes","Mariam","Female","Indian","1977-05-14","48","Single","Active","Permanent","Full Time","2016-02-20","2016-05-20",,,"9.9","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 3","CC-637","POS-00033","Officer - Procurement","Procurement","G1","Staff","BLD-100869","Santosh Baig","Doha Site","Qatar","Doha","Expatriate"
"BLD-100035","EMP000034","Noor Mahmoud","Noor","Female","Jordanian","1990-10-19","32","Married","Terminated","Permanent","Full Time","2020-10-18","2021-01-16","2023-09-04","Resignation - Better Opportunity","2.9","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00034","Team Lead - People & Culture","People & Culture","G8","Supervisory","BLD-100388","Waleed Rai","Doha Site","Qatar","Doha","Expatriate"
"BLD-100036","EMP000035","Waleed Gurung","Waleed","Male","Egyptian","1976-06-23","49","Single","Active","Permanent","Full Time","2013-09-08","2013-12-07",,,"12.3","Baladna Egypt","Operations","Production","Operations","Production - Section 1","CC-956","POS-00035","Head of Department - Production","Production","G13","Executive","BLD-100001","Yousef Al-Attiyah","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100037","EMP000036","Anita Al-Sayed","Anita","Female","Filipino","1989-04-07","36","Married","Terminated","Permanent","Full Time","2011-03-13","2011-06-11","2025-09-22","Resignation - Personal Reasons","14.5","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 2","CC-310","POS-00036","Associate - People & Culture","People & Culture","G5","Staff","BLD-100502","Sara Santos","Doha Site","Qatar","Doha","Expatriate"
"BLD-100038","EMP000037","Ali Devi","Ali","Male","Bangladeshi","1986-11-11","39","Married","Active","Permanent","Full Time","2010-11-20","2011-02-18",,,"15.1","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 2","CC-637","POS-00037","Manager - Procurement","Procurement","G10","Managerial","BLD-100884","Manoj Iqbal","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100039","EMP000038","Prakash Gurung","Prakash","Male","Jordanian","1980-07-01","45","Single","Active","Permanent","Full Time","2020-06-29","2020-09-27",,,"5.5","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 3","CC-370","POS-00038","Associate - Supply Chain & Logistics","Supply Chain & Logistics","G3","Staff","BLD-101201","Santosh Devi","Doha Site","Qatar","Doha","Expatriate"
"BLD-100040","EMP000039","Huda Mendoza","Huda","Female","Sri Lankan","1966-06-18","59","Married","Active","Temporary","Part Time","2014-06-18","2014-09-16",,,"11.5","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 2","CC-118","POS-00039","Assistant - R&D","R&D","G1","Staff","BLD-100593","Santosh Mahmoud","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100041","EMP000040","Aisha Ibrahim","Aisha","Female","Filipino","1964-03-12","61","Married","Active","Permanent","Full Time","2018-05-05","2018-08-03",,,"7.7","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00040","Officer - Engineering & Maintenance","Engineering & Maintenance","G4","Staff","BLD-100215","Vikram Abdullah","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100042","EMP000041","Ahmed Iqbal","Ahmed","Male","Pakistani","1977-09-11","47","Single","Terminated","Permanent","Full Time","2022-01-20","2022-04-20","2024-10-20","Resignation - Personal Reasons","2.7","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 2","CC-370","POS-00041","Senior Technician - Supply Chain & Logistics","Supply Chain & Logistics","G8","Supervisory","BLD-100403","Khalid Ibrahim","Doha Site","Qatar","Doha","Expatriate"
"BLD-100043","EMP000042","Hind Mansour","Hind","Female","Indian","1973-11-09","50","Married","Terminated","Permanent","Full Time","2022-05-19","2022-08-17","2024-09-05","Resignation - Better Opportunity","2.3","Baladna Q.P.S.C. (Qatar)","Corporate","IT & Digital","Corporate","IT & Digital - Section 3","CC-289","POS-00042","Technician - IT & Digital","IT & Digital","G3","Staff","BLD-101478","Juan Islam","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100044","EMP000043","Prakash Islam","Prakash","Male","Egyptian","1968-09-20","56","Married","Terminated","Contract","Full Time","2017-05-05","2017-08-03","2025-08-06","Resignation - Relocation","8.3","Baladna Egypt","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00043","Senior Officer - People & Culture","People & Culture","G6","Supervisory","BLD-101105","Fatima Malik","Cairo Site","Egypt","Cairo","Local"
"BLD-100045","EMP000044","Joy Islam","Joy","Female","Jordanian","1987-05-25","38","Single","Active","Permanent","Full Time","2016-12-23","2017-03-23",,,"9","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 2","CC-118","POS-00044","Assistant - R&D","R&D","G5","Staff","BLD-101008","Ramesh Devi","Doha Site","Qatar","Doha","Expatriate"
"BLD-100046","EMP000045","Mohamed Ahmed","Mohamed","Male","Indian","1994-10-16","31","Married","Active","Permanent","Part Time","2022-06-09","2022-09-07",,,"3.6","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00045","Coordinator - Engineering & Maintenance","Engineering & Maintenance","G2","Staff","BLD-100929","Juan Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100047","EMP000046","Reem Chowdhury","Reem","Female","Pakistani","1977-02-01","47","Other","Terminated","Permanent","Full Time","2012-09-19","2012-12-18","2024-12-26","Resignation - Personal Reasons","12.3","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00046","Coordinator - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G5","Staff","BLD-101495","Nadia Thapa","Doha Site","Qatar","Doha","Expatriate"
"BLD-100048","EMP000047","Krishna Ibrahim","Krishna","Male","Indian","1985-05-07","38","Single","Terminated","Permanent","Full Time","2022-02-24","2022-05-25","2023-06-02","Resignation - Personal Reasons","1.3","Baladna Q.P.S.C. (Qatar)","Operations","Farm Operations","Operations","Farm Operations - Section 1","CC-662","POS-00047","Technician - Farm Operations","Farm Operations","G2","Staff","BLD-100222","Tariq Pereira","Doha Site","Qatar","Doha","Expatriate"
"BLD-100049","EMP000048","Anil Kapoor","Anil","Male","Indian","1982-11-19","40","Single","Terminated","Permanent","Full Time","2018-07-06","2018-10-04","2023-06-30","Resignation - Personal Reasons","5","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00048","Officer - Finance","Finance","G2","Staff","BLD-101264","Sanjay Gurung","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100050","EMP000049","Bikram Sharma","Bikram","Male","Qatari","1971-08-13","51","Married","Terminated","Permanent","Full Time","2015-01-24","2015-04-24","2023-03-30","Termination - Disciplinary","8.2","Baladna Q.P.S.C. (Qatar)","Operations","Farm Operations","Operations","Farm Operations - Section 2","CC-662","POS-00049","Assistant - Farm Operations","Farm Operations","G1","Staff","BLD-101042","Faisal Mansour","Al Rayyan Site","Qatar","Al Rayyan","Local"
"BLD-100051","EMP000050","Rajesh Kapoor","Rajesh","Male","Egyptian","1966-01-10","59","Married","Active","Permanent","Full Time","2020-09-06","2020-12-05",,,"5.3","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00050","Senior Technician - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G6","Supervisory","BLD-101465","Ahmed Farouk","Cairo Site","Egypt","Cairo","Local"
"BLD-100052","EMP000051","Rajesh Mendoza","Rajesh","Male","Qatari","1982-09-23","43","Married","Active","Permanent","Full Time","2012-04-06","2012-07-05",,,"13.7","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 3","CC-956","POS-00051","Supervisor - Production","Production","G8","Supervisory","BLD-100182","Juan Hassan","Doha Site","Qatar","Doha","Local"
"BLD-100053","EMP000052","Ahmed Devi","Ahmed","Male","Jordanian","1965-02-24","58","Married","Terminated","Permanent","Full Time","2016-04-16","2016-07-15","2023-06-13","Resignation - Relocation","7.2","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 2","CC-310","POS-00052","Technician - Sales & Distribution","Sales & Distribution","G1","Staff","BLD-100673","Jose Malik","Cairo Site","Egypt","Cairo","Expatriate"
"BLD-100054","EMP000053","Mona Thapa","Mona","Female","Indian","1984-07-15","41","Married","Active","Permanent","Full Time","2010-04-23","2010-07-22",,,"15.7","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 3","CC-637","POS-00053","Technician - Procurement","Procurement","G2","Staff","BLD-101443","Huda Al-Sayed","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100055","EMP000054","Anil Fernandes","Anil","Male","Nepali","1983-02-19","42","Single","Active","Temporary","Full Time","2016-03-13","2016-06-11",,,"9.8","Baladna Q.P.S.C. (Qatar)","Operations","Farm Operations","Operations","Farm Operations - Section 1","CC-662","POS-00054","Assistant Manager - Farm Operations","Farm Operations","G10","Managerial","BLD-100199","Anil Khan","Doha Site","Qatar","Doha","Expatriate"
"BLD-100056","EMP000055","Nadia Mendoza","Nadia","Female","Nepali","1980-10-26","43","Single","Terminated","Contract","Full Time","2018-05-23","2018-08-21","2024-07-27","Resignation - Personal Reasons","6.2","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 2","CC-916","POS-00055","Senior Technician - Marketing","Marketing","G8","Supervisory","BLD-101126","Anil Kapoor","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100057","EMP000056","Kumar Al-Kuwari","Kumar","Male","Egyptian","1981-07-16","42","Married","Terminated","Permanent","Full Time","2022-06-18","2022-09-16","2024-05-03","Resignation - Personal Reasons","1.9","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00056","Coordinator - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G3","Staff","BLD-100447","Pooja Mansour","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100058","EMP000057","Faisal El-Sayed","Faisal","Male","Jordanian","1978-11-10","46","Single","Terminated","Permanent","Full Time","2018-07-10","2018-10-08","2025-04-12","Resignation - Better Opportunity","6.8","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00057","Associate - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G1","Staff","BLD-100677","Manoj Pereira","Doha Site","Qatar","Doha","Expatriate"
"BLD-100059","EMP000058","Noor Mansour","Noor","Female","Nepali","1963-02-27","62","Other","Active","Contract","Full Time","2014-06-10","2014-09-08",,,"11.6","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 1","CC-118","POS-00058","Manager - R&D","R&D","G10","Managerial","BLD-100375","Manoj Fernandes","Doha Site","Qatar","Doha","Expatriate"
"BLD-100060","EMP000059","Suresh Iqbal","Suresh","Male","Indian","1979-08-15","46","Single","Terminated","Permanent","Full Time","2012-05-08","2012-08-06","2025-09-26","Termination - Redundancy","13.4","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 1","CC-637","POS-00059","Operator - Procurement","Procurement","G1","Staff","BLD-100754","Priya Baig","Doha Site","Qatar","Doha","Expatriate"
"BLD-100061","EMP000060","Jose Rai","Jose","Male","Indian","1983-11-20","42","Married","Active","Contract","Full Time","2011-05-03","2011-08-01",,,"14.7","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 1","CC-310","POS-00060","Officer - Sales & Distribution","Sales & Distribution","G4","Staff","BLD-100529","Khalid Cruz","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100062","EMP000061","Kumar Ahmed","Kumar","Male","Egyptian","1974-06-10","49","Single","Terminated","Contract","Full Time","2022-04-16","2022-07-15","2024-02-18","End of Contract - Not Renewed by Employee","1.8","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00061","Officer - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G5","Staff","BLD-100051","Rajesh Kapoor","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
