"employee_id","hire_date","termination_date","termination_reason","voluntary_involuntary","department","grade","manager","gender","age","tenure"
"BLD-100132","2010-03-06","2023-07-13","Resignation - Relocation","Voluntary","Corporate & Executive Office","G2","Rina Fernandes","Male","63","13.4"
"BLD-100133","2014-02-02","2025-07-26","Resignation - Personal Reasons","Voluntary","Marketing","G7","Tariq Kapoor","Male","46","11.5"
"BLD-100134","2014-02-09","2025-05-05","Termination - Disciplinary","Involuntary","IT & Digital","G7","Manoj Abdullah","Male","53","11.2"
"BLD-100135","2022-04-02","2023-03-24","Resignation - Better Opportunity","Voluntary","IT & Digital","G2","Aisha Al-Sayed","Male","33","1"
"BLD-100136","2018-04-13","2024-06-07","Termination - Redundancy","Involuntary","Corporate & Executive Office","G8","Deepak Mahmoud","Female","41","6.2"
"BLD-100139","2012-10-03","2024-05-03","Termination - Disciplinary","Involuntary","Supply Chain & Logistics","G9","Sanjay Devi","Male","52","11.6"
"BLD-100145","2011-09-06","2025-04-11","Termination - Redundancy","Involuntary","Production","G4","Lubna Devi","Male","39","13.6"
"BLD-100147","2017-04-05","2024-12-14","Resignation - Better Opportunity","Voluntary","People & Culture","G2","Hassan Cruz","Male","39","7.7"
"BLD-100151","2016-11-12","2024-02-11","Resignation - Better Opportunity","Voluntary","IT & Digital","G10","Ramesh Islam","Male","48","7.2"
"BLD-100153","2013-02-27","2024-05-22","Resignation - Better Opportunity","Voluntary","Finance","G3","Prakash Ibrahim","Male","62","11.2"
"BLD-100155","2013-11-14","2023-06-25","Resignation - Personal Reasons","Voluntary","Production","G14","Yousef Al-Attiyah","Male","35","9.6"
"BLD-100156","2018-05-10","2023-04-10","Resignation - Better Opportunity","Voluntary","People & Culture","G5","Arjun Kapoor","Female","52","4.9"
"BLD-100160","2011-08-23","2024-02-29","Termination - Performance","Involuntary","Production","G2","Omar Al-Kuwari","Male","66","12.5"
"BLD-100162","2020-12-31","2023-08-23","Resignation - Personal Reasons","Voluntary","Marketing","G2","Aisha Iqbal","Male","31","2.6"
"BLD-100164","2020-09-26","2023-03-13","Resignation - Better Opportunity","Voluntary","People & Culture","G1","Manoj Youssef","Female","35","2.5"
"BLD-100165","2012-12-21","2025-02-07","Resignation - Better Opportunity","Voluntary","People & Culture","G1","Juan Santos","Female","46","12.1"
"BLD-100167","2010-11-18","2025-04-02","End of Contract - Not Renewed by Employee","Voluntary","Production","G2","Hari Al-Marri","Male","36","14.4"
"BLD-100173","2022-08-08","2023-09-16","Resignation - Personal Reasons","Voluntary","Marketing","G1","Vikram Ahmed","Male","45","1.1"
"BLD-100175","2022-05-03","2024-08-03","Resignation - Personal Reasons","Voluntary","Farm Operations","G9","Bikram Hassan","Male","52","2.3"
"BLD-100176","2016-04-24","2025-10-03","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G9","Suresh Hassan","Male","34","9.4"
"BLD-100178","2013-02-26","2025-09-24","Resignation - Personal Reasons","Voluntary","People & Culture","G1","Reem Ibrahim","Female","54","12.6"
"BLD-100180","2015-10-16","2023-10-15","End of Contract - Not Renewed by Employee","Voluntary","Finance","G2","Juan El-Sayed","Female","49","8"
"BLD-100183","2016-01-06","2023-11-19","End of Contract - Not Renewed by Employee","Voluntary","Production","G5","Rajesh Mendoza","Male","34","7.9"
"BLD-100184","2015-10-28","2024-02-24","Termination - Redundancy","Involuntary","Corporate & Executive Office","G4","Rowena Pereira","Male","43","8.3"
"BLD-100185","2013-10-12","2023-02-14","Resignation - Relocation","Voluntary","Marketing","G2","Ahmed Mahmoud","Male","58","9.3"
"BLD-100186","2019-07-03","2024-09-01","Contract Non-Renewal - Company Decision","Involuntary","People & Culture","G2","Rowena Islam","Female","49","5.2"
"BLD-100188","2018-08-12","2025-04-27","Contract Non-Renewal - Company Decision","Involuntary","Sales & Distribution","G6","Tariq Islam","Male","58","6.7"
"BLD-100189","2012-04-24","2024-03-16","Termination - Disciplinary","Involuntary","People & Culture","G2","Bishnu Kapoor","Female","34","11.9"
"BLD-100190","2020-12-20","2023-10-30","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G2","Sanjay El-Sayed","Male","49","2.9"
"BLD-100192","2021-04-27","2025-01-24","Resignation - Relocation","Voluntary","Finance","G6","Ravi Malik","Female","39","3.7"
"BLD-100194","2016-11-16","2025-05-17","Termination - Performance","Involuntary","People & Culture","G4","Sara Santos","Female","33","8.5"
"BLD-100195","2013-07-14","2024-06-19","Resignation - Personal Reasons","Voluntary","Production","G2","Anil Mendoza","Male","38","10.9"
"BLD-100198","2011-01-19","2023-12-11","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G5","Sanjay El-Sayed","Male","53","12.9"
"BLD-100199","2012-01-05","2025-03-02","Resignation - Relocation","Voluntary","Farm Operations","G13","Yousef Al-Attiyah","Male","34","13.2"
"BLD-100200","2017-09-17","2023-02-22","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G3","Rajesh Farouk","Female","29","5.4"
"BLD-100201","2015-01-21","2025-01-10","Resignation - Better Opportunity","Voluntary","Supply Chain & Logistics","G1","Mohamed Mansour","Male","59","10"
"BLD-100203","2011-01-27","2023-11-08","Resignation - Relocation","Voluntary","Marketing","G1","Nadia Iqbal","Male","35","12.8"
"BLD-100204","2012-05-01","2024-09-04","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G7","Ravi Youssef","Male","58","12.3"
"BLD-100206","2021-03-16","2023-07-26","End of Contract - Not Renewed by Employee","Voluntary","Corporate & Executive Office","G9","Bishnu Mendoza","Male","50","2.4"
"BLD-100207","2019-11-07","2025-08-20","Resignation - Relocation","Voluntary","Corporate & Executive Office","G6","Deepak Mahmoud","Female","47","5.8"
"BLD-100211","2019-11-30","2024-03-11","Resignation - Better Opportunity","Voluntary","Finance","G3","Rina Malik","Male","42","4.3"
"BLD-100218","2015-03-06","2024-10-03","Resignation - Better Opportunity","Voluntary","Finance","G10","Krishna Kapoor","Male","29","9.6"
"BLD-100223","2020-07-24","2024-12-24","Resignation - Better Opportunity","Voluntary","Procurement","G3","Ali Al-Kuwari","Male","41","4.4"
"BLD-100224","2014-10-03","2025-11-20","Termination - Redundancy","Involuntary","People & Culture","G3","Rina Rai","Male","56","11.1"
"BLD-100226","2022-07-21","2023-05-22","Resignation - Relocation","Voluntary","Finance","G3","Manoj Abdullah","Male","30","0.8"
"BLD-100227","2017-08-21","2023-06-23","Contract Non-Renewal - Company Decision","Involuntary","Sales & Distribution","G8","Khalid Sharma","Male","36","5.8"
"BLD-100230","2020-12-06","2023-03-21","Termination - Disciplinary","Involuntary","Quality Assurance & Food Safety","G6","Omar Sharma","Male","41","2.3"
"BLD-100231","2022-02-04","2023-11-21","Termination - Redundancy","Involuntary","Engineering & Maintenance","G2","Ravi Mansour","Male","28","1.8"
"BLD-100234","2019-09-25","2024-06-06","Resignation - Relocation","Voluntary","Finance","G3","Suresh Baig","Male","41","4.7"
"BLD-100237","2012-08-12","2023-09-29","Resignation - Relocation","Voluntary","People & Culture","G1","Hind Mahmoud","Female","56","11.1"
"BLD-100241","2022-07-23","2024-09-20","Resignation - Personal Reasons","Voluntary","Farm Operations","G7","Anil Fernandes","Male","44","2.2"
"BLD-100244","2016-03-08","2024-10-21","Resignation - Better Opportunity","Voluntary","Engineering & Maintenance","G3","Prakash Gurung","Male","37","8.6"
"BLD-100245","2010-08-29","2023-02-26","End of Contract - Not Renewed by Employee","Voluntary","Engineering & Maintenance","G3","Jose Youssef","Male","40","12.5"
"BLD-100248","2022-05-17","2024-06-06","Resignation - Better Opportunity","Voluntary","Finance","G5","Santosh Mendoza","Male","34","2.1"
"BLD-100249","2012-03-12","2023-05-12","Resignation - Better Opportunity","Voluntary","Production","G1","Rakesh Youssef","Male","48","11.2"
"BLD-100251","2021-05-28","2024-12-28","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G3","Prakash Reyes","Male","26","3.6"
"BLD-100254","2021-12-01","2023-07-26","End of Contract - Not Renewed by Employee","Voluntary","Marketing","G2","Ahmed Mahmoud","Male","41","1.6"
"BLD-100255","2020-04-16","2024-01-23","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G7","Sunita Al-Marri","Male","39","3.8"
"BLD-100263","2022-05-11","2024-08-31","Resignation - Relocation","Voluntary","Procurement","G4","Huda Sharma","Male","37","2.3"
"BLD-100266","2011-04-06","2023-02-08","Resignation - Relocation","Voluntary","Engineering & Maintenance","G1","Krishna Fernandes","Male","33","11.8"
"BLD-100267","2020-03-05","2023-09-30","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G2","Pooja Cruz","Male","46","3.6"
"BLD-100273","2010-01-17","2023-06-12","Termination - Disciplinary","Involuntary","IT & Digital","G11","Deepak Gurung","Male","54","13.4"
"BLD-100274","2022-07-01","2023-01-22","Termination - Redundancy","Involuntary","R&D","G1","Bishnu Khan","Female","51","0.6"
"BLD-100277","2013-04-07","2024-09-22","End of Contract - Not Renewed by Employee","Voluntary","Sales & Distribution","G2","Juan Baig","Male","35","11.5"
"BLD-100279","2020-06-16","2024-06-29","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G1","Kumar Thapa","Male","32","4"
"BLD-100280","2019-11-14","2024-03-06","Resignation - Better Opportunity","Voluntary","Production","G1","Hari Al-Marri","Male","34","4.3"
"BLD-100282","2011-03-25","2024-08-29","Termination - Disciplinary","Involuntary","Sales & Distribution","G9","Hassan Baig","Male","54","13.4"
"BLD-100283","2017-06-21","2023-12-09","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G7","Tariq El-Sayed","Male","60","6.5"
"BLD-100286","2017-11-07","2023-06-07","End of Contract - Not Renewed by Employee","Voluntary","IT & Digital","G1","Omar Thapa","Female","34","5.6"
"BLD-100287","2011-12-01","2023-01-08","Termination - Disciplinary","Involuntary","Farm Operations","G5","Vikram Rai","Male","57","11.1"
"BLD-100288","2021-06-25","2024-04-02","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G3","Prakash Reyes","Male","46","2.8"
"BLD-100289","2013-03-31","2023-08-20","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G2","Faisal Al-Marri","Female","38","10.4"
"BLD-100292","2014-07-22","2025-11-12","Resignation - Relocation","Voluntary","Corporate & Executive Office","G2","Santosh Islam","Female","33","11.3"
"BLD-100294","2010-07-09","2023-01-15","End of Contract - Not Renewed by Employee","Voluntary","Farm Operations","G2","Faisal Mansour","Male","32","12.5"
"BLD-100296","2014-07-31","2023-08-29","Termination - Disciplinary","Involuntary","Procurement","G3","Ali Ibrahim","Male","58","9.1"
"BLD-100299","2014-12-16","2023-10-08","Termination - Redundancy","Involuntary","Finance","G5","Prakash Ibrahim","Female","34","8.8"
"BLD-100300","2021-12-30","2023-09-06","Resignation - Personal Reasons","Voluntary","Finance","G2","Mohamed Al-Sayed","Male","34","1.7"
"BLD-100302","2011-01-31","2024-07-27","End of Contract - Not Renewed by Employee","Voluntary","Corporate & Executive Office","G4","Rajesh Al-Marri","Male","50","13.5"
"BLD-100306","2016-09-22","2025-08-05","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G4","Noor Baig","Male","55","8.9"
"BLD-100307","2020-10-07","2025-11-12","Termination - Performance","Involuntary","Finance","G3","Amina Cruz","Male","29","5.1"
"BLD-100309","2013-11-20","2025-02-09","Resignation - Relocation","Voluntary","IT & Digital","G3","Amina Fernandes","Male","43","11.2"
"BLD-100310","2018-08-23","2023-11-21","Termination - Performance","Involuntary","Quality Assurance & Food Safety","G4","Amina Farouk","Male","59","5.2"
"BLD-100312","2014-05-15","2025-04-15","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G2","Deepak Cruz","Male","41","10.9"
"BLD-100314","2014-10-11","2025-06-27","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G7","Tariq El-Sayed","Male","55","10.7"
"BLD-100315","2021-11-08","2023-03-31","Resignation - Personal Reasons","Voluntary","People & Culture","G2","Arjun Kapoor","Male","49","1.4"
"BLD-100318","2016-07-05","2023-06-08","Termination - Performance","Involuntary","Finance","G6","Khalid Chowdhury","Female","37","6.9"
"BLD-100321","2011-01-03","2024-02-08","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G2","Santosh Islam","Male","44","13.1"
"BLD-100323","2013-12-20","2025-06-04","Resignation - Relocation","Voluntary","Finance","G1","Deepak Cruz","Male","52","11.5"
"BLD-100324","2021-09-11","2024-06-06","Termination - Disciplinary","Involuntary","Production","G5","Anil Mendoza","Male","42","2.7"
"BLD-100327","2010-10-13","2023-09-29","Resignation - Better Opportunity","Voluntary","R&D","G8","Sameer Sharma","Male","36","13"
"BLD-100329","2021-03-13","2024-12-25","Termination - Performance","Involuntary","Production","G8","Mohamed Al-Kuwari","Male","42","3.8"
"BLD-100330","2013-04-11","2024-01-14","Resignation - Personal Reasons","Voluntary","Farm Operations","G4","Prakash Kapoor","Male","38","10.8"
"BLD-100334","2015-03-01","2024-12-16","Termination - Disciplinary","Involuntary","People & Culture","G7","Sameer Iqbal","Female","48","9.8"
"BLD-100336","2020-09-01","2023-05-07","Termination - Performance","Involuntary","Farm Operations","G2","Hari Cruz","Male","57","2.7"
"BLD-100337","2018-07-29","2025-05-28","Resignation - Personal Reasons","Voluntary","Procurement","G1","Bikram Al-Kuwari","Male","48","6.8"
"BLD-100342","2021-07-14","2025-03-01","Resignation - Personal Reasons","Voluntary","Farm Operations","G5","Prakash Kapoor","Male","40","3.6"
"BLD-100345","2018-04-09","2023-08-22","Resignation - Relocation","Voluntary","People & Culture","G2","Sara Hassan","Female","57","5.4"
"BLD-100346","2013-03-06","2023-01-23","Resignation - Better Opportunity","Voluntary","IT & Digital","G5","Lubna Mansour","Male","42","9.9"
"BLD-100348","2016-11-20","2023-02-11","End of Contract - Not Renewed by Employee","Voluntary","R&D","G2","Waleed Cruz","Male","48","6.2"
"BLD-100350","2011-11-22","2025-05-07","Termination - Disciplinary","Involuntary","R&D","G3","Faisal Fernandes","Female","61","13.5"
"BLD-100352","2018-05-12","2023-08-30","Resignation - Relocation","Voluntary","People & Culture","G2","Arjun Islam","Male","51","5.3"
"BLD-100354","2010-10-05","2023-06-01","Termination - Redundancy","Involuntary","Finance","G6","Ravi Malik","Male","55","12.7"
"BLD-100356","2014-09-11","2024-01-22","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G6","Hari Chowdhury","Male","50","9.4"
"BLD-100360","2013-03-26","2024-02-08","Termination - Disciplinary","Involuntary","Finance","G8","Ravi Malik","Male","38","10.9"
"BLD-100364","2022-09-20","2024-02-01","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G3","Arjun Fernandes","Male","32","1.4"
"BLD-100365","2013-04-07","2024-09-09","Resignation - Relocation","Voluntary","People & Culture","G3","Juan Santos","Female","56","11.4"
"BLD-100366","2011-08-26","2024-10-25","End of Contract - Not Renewed by Employee","Voluntary","Production","G2","Santosh Gurung","Male","60","13.2"
"BLD-100367","2014-10-14","2024-05-03","End of Contract - Not Renewed by Employee","Voluntary","Finance","G6","Sameer Abdullah","Male","55","9.6"
"BLD-100368","2014-07-19","2024-09-11","Resignation - Relocation","Voluntary","People & Culture","G2","Hind Mahmoud","Male","40","10.1"
"BLD-100371","2019-07-16","2024-06-22","Resignation - Better Opportunity","Voluntary","Finance","G3","Rajesh Malik","Female","53","4.9"
"BLD-100372","2015-10-20","2024-06-29","Contract Non-Renewal - Company Decision","Involuntary","Finance","G2","Suresh Mahmoud","Male","52","8.7"
"BLD-100374","2015-05-13","2024-10-19","End of Contract - Not Renewed by Employee","Voluntary","Engineering & Maintenance","G2","Anil Mahmoud","Male","48","9.4"
"BLD-100376","2019-11-06","2024-05-14","Resignation - Better Opportunity","Voluntary","IT & Digital","G2","Lubna Mansour","Male","42","4.5"
"BLD-100378","2013-05-10","2025-07-02","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G3","Ahmed Abdullah","Male","31","12.1"
"BLD-100379","2016-08-06","2023-08-06","Resignation - Relocation","Voluntary","Marketing","G3","Ahmed Kapoor","Female","46","7"
"BLD-100381","2010-04-12","2023-04-11","Termination - Performance","Involuntary","People & Culture","G1","Yasmin Cruz","Female","36","13"
"BLD-100384","2012-08-20","2024-07-10","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G1","Sanjay Devi","Male","34","11.9"
"BLD-100385","2021-09-11","2024-01-21","Resignation - Relocation","Voluntary","People & Culture","G8","Waleed Mendoza","Male","25","2.4"
"BLD-100387","2013-01-13","2023-12-13","Resignation - Relocation","Voluntary","People & Culture","G3","Hind Youssef","Male","54","10.9"
"BLD-100389","2012-11-25","2023-04-21","End of Contract - Not Renewed by Employee","Voluntary","IT & Digital","G3","Arjun Mendoza","Female","39","10.4"
"BLD-100393","2022-05-10","2024-04-10","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G2","Anil Fernandes","Male","26","1.9"
"BLD-100396","2010-03-07","2023-06-15","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G1","Bishnu Kapoor","Female","47","13.3"
"BLD-100397","2019-12-08","2023-12-30","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G7","Sunita Baig","Male","50","4.1"
"BLD-100402","2013-04-30","2025-12-11","Contract Non-Renewal - Company Decision","Involuntary","People & Culture","G2","Manoj Fernandes","Male","44","12.6"
"BLD-100405","2020-10-10","2023-06-03","Resignation - Better Opportunity","Voluntary","Finance","G5","Mohamed Islam","Male","29","2.6"
"BLD-100406","2016-07-15","2023-07-12","Resignation - Better Opportunity","Voluntary","Corporate & Executive Office","G10","Pooja Chowdhury","Male","31","7"
"BLD-100410","2022-08-30","2024-09-25","Termination - Redundancy","Involuntary","Production","G8","Sameer Reyes","Male","55","2.1"
"BLD-100411","2014-04-14","2025-11-25","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G4","Nadia El-Sayed","Male","44","11.6"
"BLD-100412","2011-06-06","2024-08-26","Resignation - Better Opportunity","Voluntary","Supply Chain & Logistics","G1","Prakash Gurung","Male","54","13.2"
"BLD-100414","2020-05-23","2023-04-13","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G1","Kavita Gurung","Female","23","2.9"
"BLD-100416","2011-04-21","2025-10-27","Contract Non-Renewal - Company Decision","Involuntary","People & Culture","G8","Ravi Santos","Male","33","14.5"
"BLD-100417","2016-03-17","2023-12-31","Resignation - Personal Reasons","Voluntary","IT & Digital","G3","Rowena Ibrahim","Female","35","7.8"
"BLD-100424","2016-06-06","2023-03-02","Contract Non-Renewal - Company Decision","Involuntary","IT & Digital","G1","Mariam Rai","Female","57","6.7"
"BLD-100425","2014-09-21","2024-04-01","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G4","Rina Hassan","Male","43","9.5"
"BLD-100426","2014-04-11","2024-10-17","Resignation - Personal Reasons","Voluntary","Procurement","G12","Manoj Iqbal","Male","62","10.5"
"BLD-100427","2014-12-21","2025-04-08","Termination - Disciplinary","Involuntary","Procurement","G8","Santosh Mansour","Male","61","10.3"
"BLD-100431","2020-08-13","2024-10-08","Resignation - Relocation","Voluntary","Production","G6","Juan Hassan","Male","30","4.2"
